SMILES,ERed
CCCCN1CN(C)c2cc3nsnc3cc21,1.11
CCN1c2cc3nsnc3cc2N(C)C1OCC(C)C,1.15
CCCN1CN(C(C)CC)c2cc3nsnc3cc21,1.11
CCNc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.34
CCCN1CN(CCC)c2c1cc1nsnc1c2C,1.05
CCCN1c2cc3nsnc3c(C)c2N(C)C1OC,1.2
CCOc1c2c(cc3nsnc13)N(C(C)C)CCN2C,1.25
CNc1c(N(C)C)c(C)cc2nsnc12,1.48
CCN1CN(C)c2c1c(C)c1nsnc1c2C,1.12
CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,1.07
CCN(C)c1cc(OC)cc2nsnc12,1.33
CC(C)CN1CN(C)c2cc3nsnc3cc21,1.05
CCCN1CN(C(C)C)c2cc3nsnc3cc21,1.02
Cc1c2c(cc3nsnc13)N(CC(C)C)CN2C,1.11
CCCN1CN(C(C)C)c2c1cc1nsnc1c2C,1.24
CCCN1CN(C)c2c1cc1nsnc1c2C,1.12
CNc1c2c(c(C)c3nsnc13)OCCC2,1.38
CNc1c2c(cc3nsnc13)OCCC2C,1.43
CCNc1c2c(cc3nsnc13)OC(C)C2C,1.37
CCCN1CN(C(C)CC)c2cc3nsnc3c(C)c21,1.13
CC1CNc2c(c3c(c4nsnc24)CCO3)C1,1.43
CCNc1c2c(cc3nsnc13)N(CC)CN2C,1.13
CCNc1c2c(cc3nsnc13)N(CC)CN2C(C)C,1.12
Cc1c2c(cc3nsnc13)N(C)CN2C(C)C,1.09
CCC(C)OC1N(C)c2cc3nsnc3cc2N1C,1.11
CNc1c2c(cc3nsnc13)OCCC2,1.41
CCCCN1CN(CC)c2cc3nsnc3c(C)c21,0.93
CCNc1c2c(cc3nsnc13)N(CC)CN2CC,0.86
CCN1c2cc3nsnc3cc2N(C)C1OC,1.11
COc1cc(NC(C)C)c2nsnc2c1,1.23
Cc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.07
CCCCN1CN(CCOC)c2cc3nsnc3cc21,1.23
CNc1cc2c(c3nsnc13)CCC(C)O2,1.28
CNc1c2c(cc3nsnc13)N(C(C)C)CN2C,1.21
CCCOc1cc(NC)c2nsnc2c1,1.3
CNc1c2c(cc3nsnc13)OCC(C)C2,1.41
CCNc1c(N(C)C)c(C)cc2nsnc12,1.49
CCCCN1CN(CCC)c2cc3nsnc3cc21,1.08
CCC(C)N1CN(C)c2cc3nsnc3c(C)c21,0.86
CNc1c2c(c(C)c3nsnc13)N(C(C)C)CCN2C,1.35
CCN1CN(C(C)C)c2c1c(C)c1nsnc1c2C,1.17
Cc1c2c(c(C)c3nsnc13)N(C(C)C)CN2C,1.15
Cc1c2c(cc3nsnc13)N(C)C(OC(C)C)N2C,1.19
CCCCOc1cc(NC)c2nsnc2c1,1.37
CCN1CN(C)c2c1c(NC)c1nsnc1c2C,1.22
CCNc1c2c(c(OC)c3nsnc13)N(C)CCN2C,1.53
CCCOc1cc(NCC)c2nsnc2c1,1.35
CCC(C)N1CCN(CC)c2cc3nsnc3c(OC)c21,1.2
CCc1c2c(c(C)c3nsnc13)CC(C)O2,1.37
COc1cc2nsnc2c2c1C(C)(C)CN2,1.42
CNc1c(C)c2c(c3nsnc13)C(C)CO2,1.39
CNc1c(C)c2c(c3nsnc13)CCO2,1.4
Cc1c2c(c(C)c3nsnc13)OC(C)C2,1.38
CNc1cc(OC)cc2nsnc12,1.39
CNc1c2c(cc3nsnc13)CCC2C,1.63
CC(C)CNc1c2c(cc3nsnc13)C1CCC2C1,1.35
CCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.29
CNc1c2c(cc3nsnc13)N(CCOC)CCN2C,1.25
CCN1CN(C)c2c1cc1nsnc1c2NC(C)C,1.18
CCCN1CCN(CC)c2cc3nsnc3c(OC)c21,1.3
CCNc1c2c(c(CC)c3nsnc13)C1CCC2C1,1.53
CCNc1c2c(cc3nsnc13)N(C)CN2C(C)C,1.11
CNc1cc2c(c3nsnc13)CC(C)CO2,1.42
CCNc1c2c(cc3nsnc13)OCC2C,1.44
CCCN1CN(C)c2c1cc1nsnc1c2NC,1.27
CCCN1CCN(C)c2c1c(C)c1nsnc1c2NC,1.33
CNc1c2c(c(C)c3nsnc13)OC(C)C2,1.27
CNc1c2c(cc3nsnc13)OCCN2C,1.4
CCC1Cc2c(c(C)c3nsnc3c2C)O1,1.42
CCNc1c2c(cc3nsnc13)OC(C)C(C)O2,1.31
CNc1cc2c(c3nsnc13)CCCO2,1.37
CCCCNc1cc(C)cc2nsnc12,1.47
CCNc1cc2c(c3nsnc13)C(C)(C)CO2,1.36
CCN1CN(C(C)C)c2c1cc1nsnc1c2NC,1.05
Cc1c2c(c(OC(C)C)c3nsnc13)OC(C)CO2,1.53
CCCCN1CN(CC)c2cc3nsnc3cc21,1.11
CCCN1CN(CC)c2cc3nsnc3c(NC)c21,1.11
CCN1CN(C)c2c1cc1nsnc1c2C,1.11
CCC1Oc2c(cc3nsnc3c2C)OC1C(C)C,1.33
CCNc1cc2c(c3nsnc13)CCO2,1.41
CNc1c2c(cc3nsnc13)OC(C)C2,1.44
CCN1CN(C)c2cc3nsnc3c(NC)c21,1.09
CCCNc1c2c(c(C)c3nsnc13)C1CCC2C1,1.18
CCCCN1CN(C)c2c1cc1nsnc1c2NC,1.09
CCNc1c2c(cc3nsnc13)C1CCC2C1,1.4
CCN1CN(C)c2c1cc1nsnc1c2NCC(C)C,1.09
CCN1c2cc3nsnc3c(NC)c2N(C)C1OC,1.22
CCC(C)Nc1cc(OC)cc2nsnc12,1.23
CCNc1c2c(cc3nsnc13)N(CC(C)C)CN2C,1.19
COCCN1CN(C)c2c1cc1nsnc1c2C,1.16
CCCN1CN(CC)c2cc3nsnc3c(C)c21,1.01
CCCN1CN(C)c2cc3nsnc3cc21,1.1
CCCc1cc(NCC)c2nsnc2c1,1.47
CCNc1c2c(c(CC)c3nsnc13)OC(C)CO2,1.31
CCCN1c2c(cc3nsnc3c2C)N(C)C1OC,1.11
CNc1c2c(c(C(C)C)c3nsnc13)N(C)CN2C,0.97
CCC1Oc2cc3nsnc3c(C)c2OC1C(C)C,1.42
CCCC1Oc2c(cc3nsnc3c2NC)OC1C,1.28
CC(C)CNc1c2c(cc3nsnc13)N(C)CN2C,1.37
CNc1c2c(c(C)c3nsnc13)OC(C)C(C)O2,1.44
CNc1c2c(c(C)c3nsnc13)CCN2C,1.29
Cc1c2c(c(C)c3nsnc13)C(C)(C)CO2,1.41
CCC1CNc2c1c(OC)cc1nsnc21,1.42
CNc1c2c(cc3nsnc13)N(CCOC)CN2C,1.05
CNc1c2c(c(C)c3nsnc13)C1CCC2C1,1.33
CCCN1CN(C)c2c1c(C)c1nsnc1c2C,1.11
CCNc1cc2c(c3nsnc13)C(CC)CO2,1.37
CNc1c2c(c(C)c3nsnc13)N(C)CCN2C,1.38
CCCOc1cc2nsnc2c2c1OCCN2,1.35
CC1Cc2cc3nsnc3c(N(C)C)c2O1,1.45
CCOc1cc2nsnc2c2c1OC(C)CO2,1.35
CCNc1c2c(cc3nsnc13)N(C)CC2,1.32
CCNc1c2c(c(C)c3nsnc13)OC(CC)CO2,1.37
CCC1COc2c1c(C)c1nsnc1c2C,1.44
CCNc1c2c(cc3nsnc13)OC(CC)CO2,1.4
CCC(C)N1CN(C)c2cc3nsnc3c(NC)c21,0.91
CCCNc1cc(CC)cc2nsnc12,1.41
CCOc1cc(NC)c2nsnc2c1CC,1.38
Cc1c2c(c(C)c3nsnc13)C(C)CO2,1.4
CNc1c2c(cc3nsnc13)OCCCC2,1.43
CCNc1c2c(cc3nsnc13)N(C)CN2CC(C)C,1.1
CCCN(CC(C)C)c1ccc2nsnc2c1,1.33
CCc1c2c(c(C)c3nsnc13)OCC2,1.39
CCNc1c2c(c(C)c3nsnc13)OC(C)CO2,1.45
CNc1c2c(cc3nsnc13)OCC2C,1.32
CNc1c2c(c(C)c3nsnc13)N(C)CN2C,1.12
